Time,13 ZONE PVAV:DesPer 1:Des Heat Mass Flow [kg/s],13 ZONE PVAV:DesPer 1:Des Heat Cap [W],13 ZONE PVAV:DesPer 1:Des Cool Mass Flow [kg/s],13 ZONE PVAV:DesPer 1:Des Sens Cool Cap [W],13 ZONE PVAV:DesPer 1:Des Tot Cool Cap [W],13 ZONE PVAV:DesPer 2:Des Heat Mass Flow [kg/s],13 ZONE PVAV:DesPer 2:Des Heat Cap [W],13 ZONE PVAV:DesPer 2:Des Cool Mass Flow [kg/s],13 ZONE PVAV:DesPer 2:Des Sens Cool Cap [W],13 ZONE PVAV:DesPer 2:Des Tot Cool Cap [W],13 ZONE PVAV:DesPer 3:Des Heat Mass Flow [kg/s],13 ZONE PVAV:DesPer 3:Des Heat Cap [W],13 ZONE PVAV:DesPer 3:Des Cool Mass Flow [kg/s],13 ZONE PVAV:DesPer 3:Des Sens Cool Cap [W],13 ZONE PVAV:DesPer 3:Des Tot Cool Cap [W]
00:15:00,2.131259E+00,0.000000E+00,2.964860E+00,3.824564E+04,7.068175E+04,2.131259E+00,0.000000E+00,2.816040E+00,3.034299E+04,8.322311E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.552137E+03,2.443557E+04
00:30:00,2.131259E+00,0.000000E+00,2.948517E+00,3.783397E+04,7.025130E+04,2.131259E+00,0.000000E+00,2.803983E+00,2.997980E+04,8.219275E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.554097E+03,2.443697E+04
00:45:00,2.131259E+00,0.000000E+00,2.934096E+00,3.744387E+04,6.984569E+04,2.131259E+00,0.000000E+00,2.792517E+00,2.962323E+04,8.117601E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.556069E+03,2.443843E+04
01:00:00,2.131259E+00,0.000000E+00,2.921502E+00,3.707431E+04,6.946292E+04,2.131259E+00,0.000000E+00,2.781560E+00,2.927238E+04,8.017090E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.558051E+03,2.443996E+04
01:15:00,2.131259E+00,0.000000E+00,2.910955E+00,3.680381E+04,6.918302E+04,2.131259E+00,0.000000E+00,2.772400E+00,2.901773E+04,7.948192E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.557789E+03,2.443922E+04
01:30:00,2.131259E+00,0.000000E+00,2.900927E+00,3.653916E+04,6.891005E+04,2.131259E+00,0.000000E+00,2.763671E+00,2.876791E+04,7.880042E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.557540E+03,2.443851E+04
01:45:00,2.131259E+00,0.000000E+00,2.891386E+00,3.627997E+04,6.864332E+04,2.131259E+00,0.000000E+00,2.755347E+00,2.852264E+04,7.812584E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.557302E+03,2.443783E+04
02:00:00,2.131259E+00,0.000000E+00,2.882305E+00,3.602596E+04,6.838236E+04,2.131259E+00,0.000000E+00,2.747411E+00,2.828170E+04,7.745777E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.557070E+03,2.443716E+04
02:15:00,2.131259E+00,0.000000E+00,2.873620E+00,3.581440E+04,6.816537E+04,2.131259E+00,0.000000E+00,2.739808E+00,2.808252E+04,7.693917E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.556843E+03,2.443651E+04
02:30:00,2.131259E+00,0.000000E+00,2.865298E+00,3.560692E+04,6.795279E+04,2.131259E+00,0.000000E+00,2.732515E+00,2.788680E+04,7.642523E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.556621E+03,2.443587E+04
