Time,13 ZONE PVAV:DesPer 1:Des Heat Mass Flow [kg/s],13 ZONE PVAV:DesPer 1:Des Heat Cap [W],13 ZONE PVAV:DesPer 1:Des Cool Mass Flow [kg/s],13 ZONE PVAV:DesPer 1:Des Sens Cool Cap [W],13 ZONE PVAV:DesPer 1:Des Tot Cool Cap [W],13 ZONE PVAV:DesPer 2:Des Heat Mass Flow [kg/s],13 ZONE PVAV:DesPer 2:Des Heat Cap [W],13 ZONE PVAV:DesPer 2:Des Cool Mass Flow [kg/s],13 ZONE PVAV:DesPer 2:Des Sens Cool Cap [W],13 ZONE PVAV:DesPer 2:Des Tot Cool Cap [W],13 ZONE PVAV:DesPer 3:Des Heat Mass Flow [kg/s],13 ZONE PVAV:DesPer 3:Des Heat Cap [W],13 ZONE PVAV:DesPer 3:Des Cool Mass Flow [kg/s],13 ZONE PVAV:DesPer 3:Des Sens Cool Cap [W],13 ZONE PVAV:DesPer 3:Des Tot Cool Cap [W]
00:15:00,2.131259E+00,0.000000E+00,2.892623E+00,3.922189E+04,8.306509E+04,2.131259E+00,0.000000E+00,2.751199E+00,2.928704E+04,9.738990E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.558467E+03,2.446669E+04
00:30:00,2.131259E+00,0.000000E+00,2.874413E+00,3.866737E+04,8.222498E+04,2.131259E+00,0.000000E+00,2.736323E+00,2.883585E+04,9.572657E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.558467E+03,2.446669E+04
00:45:00,2.131259E+00,0.000000E+00,2.857082E+00,3.812847E+04,8.141392E+04,2.131259E+00,0.000000E+00,2.723855E+00,2.841296E+04,9.416391E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.558467E+03,2.446669E+04
01:00:00,2.131259E+00,0.000000E+00,2.840515E+00,3.760339E+04,8.062842E+04,2.131259E+00,0.000000E+00,2.711924E+00,2.799829E+04,9.263498E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.558467E+03,2.446669E+04
01:15:00,2.131259E+00,0.000000E+00,2.825043E+00,3.719701E+04,7.998142E+04,2.131259E+00,0.000000E+00,2.700813E+00,2.769089E+04,9.151694E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.558467E+03,2.446669E+04
01:30:00,2.131259E+00,0.000000E+00,2.811159E+00,3.681365E+04,7.938156E+04,2.131259E+00,0.000000E+00,2.690195E+00,2.739009E+04,9.042374E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.558467E+03,2.446669E+04
01:45:00,2.131259E+00,0.000000E+00,2.799381E+00,3.645969E+04,7.884305E+04,2.131259E+00,0.000000E+00,2.680040E+00,2.709549E+04,8.935395E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.558467E+03,2.446669E+04
02:00:00,2.131259E+00,0.000000E+00,2.788122E+00,3.611412E+04,7.832082E+04,2.131259E+00,0.000000E+00,2.670326E+00,2.680676E+04,8.830642E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.558467E+03,2.446669E+04
02:15:00,2.131259E+00,0.000000E+00,2.777288E+00,3.582518E+04,7.786325E+04,2.131259E+00,0.000000E+00,2.660974E+00,2.657049E+04,8.745773E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.558467E+03,2.446669E+04
02:30:00,2.131259E+00,0.000000E+00,2.766849E+00,3.554248E+04,7.741792E+04,2.131259E+00,0.000000E+00,2.651959E+00,2.633858E+04,8.662506E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.558467E+03,2.446669E+04
02:45:00,2.131259E+00,0.000000E+00,2.756782E+00,3.526565E+04,7.698413E+04,2.131259E+00,0.000000E+00,2.643262E+00,2.611076E+04,8.580754E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.558467E+03,2.446669E+04
03:00:00,2.131259E+00,0.000000E+00,2.748254E+00,3.500950E+04,7.659434E+04,2.131259E+00,0.000000E+00,2.634867E+00,2.588685E+04,8.500448E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.558467E+03,2.446669E+04
03:15:00,2.131259E+00,0.000000E+00,2.740120E+00,3.475926E+04,7.621652E+04,2.131259E+00,0.000000E+00,2.626701E+00,2.566607E+04,8.421331E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.558467E+03,2.446669E+04
03:30:00,2.131259E+00,0.000000E+00,2.732201E+00,3.451261E+04,7.584549E+04,2.131259E+00,0.000000E+00,2.618741E+00,2.544816E+04,8.343315E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.558467E+03,2.446669E+04
03:45:00,2.131259E+00,0.000000E+00,2.724479E+00,3.426928E+04,7.548081E+04,2.131259E+00,0.000000E+00,2.610970E+00,2.523293E+04,8.266333E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.558467E+03,2.446669E+04
04:00:00,2.131259E+00,0.000000E+00,2.716940E+00,3.402907E+04,7.512203E+04,2.131259E+00,0.000000E+00,2.603373E+00,2.502021E+04,8.190327E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.558467E+03,2.446669E+04
04:15:00,2.131259E+00,0.000000E+00,2.709625E+00,3.384080E+04,7.482014E+04,2.131259E+00,0.000000E+00,2.596001E+00,2.485675E+04,8.132659E+04,2.131259E+00,0.000000E+00,2.197964E+00,7.558467E+03,2.446669E+04
